Company,CrunchBase Profile,Image,Tagline,Year Founded,Market Categories,Address (HQ),City (HQ),State / Region (HQ),Country (HQ),Description,Homepage,Twitter,Acquired by,Acquisitions ID,API
NetScreen Technologies,http://www.crunchbase.com/organization/netscreen-technologies,,network security solution,1997.0,Security,"805 11th Avenue, Building Three, Sunnyvale, California, United States",Sunnyvale,California,United States,"As of April 16, 2004, NetScreen Technologies, Inc. was acquired by Juniper Networks, Inc. NetScreen Technologies, Inc. engages in developing, marketing, and selling integrated network security solutions. The security solutions provide key security technologies, such as virtual private networking, denial of service protection, firewall, and intrusion detection and prevention. Virtual private networks allow access to an internal network through the Internet or other untrusted network to securely connect two or more locations, as well as remote users. Firewalls help prevent unauthorized network access by establishing a perimeter defense between two networks, such as an enterprise's network and the Internet. Intrusion detection and prevention appliances detect network attacks using sophisticated detection methods. Besides, the company provides its customers hands-on training classes, testing and certification, and professional services. Domestically, it sells directly to major carriers and through value-added resellers and a distributor to end customers. Internationally, NetScreen sells primarily through distributors, who, in turn, sell to value-added resellers. Its products are sold to end customers, such as established companies and large carriers, including traditional local and long distance telephone companies, Internet carriers, managed security service providers, Internet data center operators, metropolitan area network carriers, and government entities. The company was incorporated in 1997.",,,Juniper Networks,Juniper Networks acquired NetScreen Technologies in 2004,http://api.crunchbase.com/v/2/organization/netscreen-technologies?user_key=0ebdc8274e821149894a240090945265
Wandl,http://www.crunchbase.com/organization/wandl,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189193/820c6e94b5b6dfcbb7c8052b678bfc17.gif","WANDL, Inc. Wide Area Network Design Laboratory is a privately held company, founded in 1986 by a team of experts in network design and",1986.0,Software,"88 Centennial Ave, Piscataway, New Jersey, United States",Piscataway,New Jersey,United States,"WANDL, Inc. Wide Area Network Design Laboratory is a privately held company, founded in 1986 by a team of experts in network design and analysis. Headquartered in Piscataway, New Jersey, WANDL also has sales presences in Europe and Asia.",http://wandl.com,,Juniper Networks,Juniper Networks acquired Wandl in 2013,http://api.crunchbase.com/v/2/organization/wandl?user_key=0ebdc8274e821149894a240090945265
Bizo,http://www.crunchbase.com/organization/bizo,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397187493/e978f14e2f0821f25b137af00881dc65.png","Bizo is a marketing platform enabling B2B marketers to identify, reach and engage their target audiences online.",2008.0,Advertising,"225 Bush St., Suite #1150, San Francisco, California, United States",San Francisco,California,United States,"Bizo is how B2B marketers identify and reach their target audiences online. Fueled by Bizo’s audience of more than 120 million professionals around the world, including more than 85% of the U.S. business population, the Bizo Marketing Platform can precisely target business people by specific business demographic criteria.Bizo’s customers use the platform’s data management and targeting capabilities to reach audiences anywhere they travel online and engage those that come to their websites, landing pages, and social channels. Bizo has earned the confidence of more than 600 SMB marketers and large global brands including AMEX, Mercedes Benz, Monster, Salesforce.com, Porsche, Microsoft, AT&amp;T, and UPS who use Bizo to impact every stage of their sales and marketing funnels.",http://www.bizo.com,http://twitter.com/bizo,LinkedIn,LinkedIn acquired Bizo in 2014,http://api.crunchbase.com/v/2/organization/bizo?user_key=0ebdc8274e821149894a240090945265
Bright.com,http://www.crunchbase.com/organization/bright-com,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397181748/e0697c39b9ee98fefb5cab700a5e356a.png","Bright uses artificial intelligence AI to connect job seekers to their best opportunities, and employers to their top prospects.",2011.0,Curated Web,"690 5th Street, San Francisco, California, United States",San Francisco,California,United States,"We believe that finding the right job should be easier than splitting an atom. Steeped in data science, Bright eliminates the noise in the hiring process by efficiently connecting job seekers to their best opportunities, and employers to their top prospects. We unlock the power of artificial intelligence to identify and establish a one-to-one signal between candidates and successful outcomes. Bright is not just an innovation in online job search — it’s a mission to move the labor markets faster.Our machine-learning algorithm, the Bright Score, examines thousands of data points to find the best fit between job seekers and job openings. By reducing time to hire, Bright is changing the way the world thinks about the hiring process.",http://www.bright.com,http://twitter.com/brightjobs,LinkedIn,LinkedIn acquired Bright.com in 2014,http://api.crunchbase.com/v/2/organization/bright-com?user_key=0ebdc8274e821149894a240090945265
ChoiceVendor,http://www.crunchbase.com/organization/choicevendor,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397189609/995b5f692ed6ab889dbb3aa6aa057bc7.png",ChoiceVendor is a startup that allows companies to rate and review business-to-business service providers.,,,,,,,"ChoiceVendor provides real-world ratings and reviews of business-to-business service providers in more than 70 categories across the United States.The company is based in San Francisco and was founded by chief executive officer Yan-David Erlich and vice president of engineering Rama Ranganath. Prior to founding ChoiceVendor, Yan-David was an entrepreneur in residence at Battery Ventures and the founder and CEO of Mogad/Social.IM which was acquired by iSkoot in 2008. Previously, he also held software engineering and product management roles at Microsoft and Google. Rama was at Google before founding ChoiceVendor where he was an early engineer on the AdSense team and eventually managed several teams including the Google Ad Manager team. Prior to that, Rama worked at Microsoft.",,,LinkedIn,LinkedIn acquired ChoiceVendor in 2010,http://api.crunchbase.com/v/2/organization/choicevendor?user_key=0ebdc8274e821149894a240090945265
Pulse,http://www.crunchbase.com/organization/pulse,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397751549/dc84676800a453fdee0e732c6dd69af3.png",Pulse is a news reading app that provides users with news from multiple RSS feeds on a single interface.,2010.0,"News, iPhone","2 Shaw Alley, 5th Floor, San Francisco, California, United States",San Francisco,California,United States,"Pulse is an elegant news reading application for iPhone, iPad and Android devices. It incorporates colorful panning story bars and fills them with content from your favorite sources. Pulse redefines news, giving you the opportunity to experience the news you desire from traditional sources, your favorite blogs and social networks all in one beautiful interface.Pulse is developed by Alphonso Labs.",,http://twitter.com/pulsepad,LinkedIn,LinkedIn acquired Pulse in 2013,http://api.crunchbase.com/v/2/organization/pulse?user_key=0ebdc8274e821149894a240090945265
Rapportive,http://www.crunchbase.com/organization/rapportive,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397180611/97af3e24611f648869289ca296fdc91f.png",Rapportive is an email add-on that displays social media info about contacts inside the users’ inbox.,2010.0,"Messaging, Email","153 Townsend St, San Francisco, California, United States",San Francisco,California,United States,"Rapportive shows you everything about your contacts right inside your inbox.You can immediately see what people look like, where they're based, and what they do. You can establish rapport by mentioning shared interests. You can grow your network by connecting on LinkedIn, Twitter, Facebook and more. And you can record thoughts for later by leaving notes.",http://rapportive.com,http://twitter.com/rapportive,LinkedIn,LinkedIn acquired Rapportive in 2012,http://api.crunchbase.com/v/2/organization/rapportive?user_key=0ebdc8274e821149894a240090945265
SlideShare,http://www.crunchbase.com/organization/slideshare,"http://a1.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1406289975/ylhgko7p1cg6o9b150se.png","SlideShare is an online community that allows users to upload and share PowerPoint presentations, documents and infographics.",,Curated Web,"490 2nd St, 301, San Francisco, California, United States",San Francisco,California,United States,"SlideShare is a community for sharing presentations.Individuals or organizations can upload and share PowerPoint, PDF, or OpenOffice presentations. Anyone can find presentations on their topic of interest. Users can tag presentation, and download or embed them into their own websites or blogs. Users can also share their documents privately.SlideShare lets its users to join groups to connect with SlideShare members who share similar interests. Business presentations make the most of the content. SlideShare also has a Facebook application for uploading documents.",http://www.slideshare.net,http://twitter.com/slideshare,LinkedIn,LinkedIn acquired SlideShare in 2012,http://api.crunchbase.com/v/2/organization/slideshare?user_key=0ebdc8274e821149894a240090945265
aQuantive,http://www.crunchbase.com/organization/aquantive,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397184728/0babc8f5dc940b366ed5326763fd05e1.png",aQuantive is an advertising network providing digital marketing and technology solutions.,1997.0,Curated Web,"821 2nd Avenue, Suite 1800, Seattle, Washington, United States",Seattle,Washington,United States,aQuantive is an advertising network purchased by Microsoft in May 2007.,http://www.aquantive.com,,Microsoft,Microsoft acquired aQuantive in 2007,http://api.crunchbase.com/v/2/organization/aquantive?user_key=0ebdc8274e821149894a240090945265
Danger,http://www.crunchbase.com/organization/danger,"http://a4.images.crunchbase.com/image/upload/c_pad,h_500,w_500/v1397183654/8daaf38dbb2ca44cca10a181ab94ff70.gif",Danger provides the software platform and hardware behind T-Mobile’s Sidekick phone.,1999.0,Software,"3101 Park Blvd, Palo Alto, California, United States",Palo Alto,California,United States,"Danger provided the software platform and hardware behind T-Mobile's Sidekick phone. In its prime, the youth-friendly, messaging-focused phone handled over 4,000 messages and 400 pageviews per user per month, according to figures quoted on Danger's website as of February 2008.Microsoft acquired Danger in 2008, and the company made headlines in 2009 when an issue with its servers caused users to lose all data not stored locally.On May 31, 2011, T-Mobile and Microsoft discontinued the cloud data service to all Danger-powered Sidekick devices.",,,Microsoft,Microsoft acquired Danger in 2008,http://api.crunchbase.com/v/2/organization/danger?user_key=0ebdc8274e821149894a240090945265
